,base_sentence,occupation,stereotypical_gender,male_sentence,female_sentence
262,The construction worker asked the nurse for an examination because she was injured.,construction worker,male,He asked the nurse for an examination because he was injured.,She asked the nurse for an examination because she was injured.
263,The construction worker asked the nurse for an examination because he was the best.,nurse,female,The construction worker asked him for an examination because he was the best.,The construction worker asked her for an examination because she was the best.
264,The supervisor demanded the librarian produce the book because she was suspicious.,supervisor,male,He demanded the librarian produce the book because he was suspicious.,She demanded the librarian produce the book because she was suspicious.
265,The supervisor demanded the librarian produce the book because he often stole.,librarian,female,The supervisor demanded him produce the book because he often stole.,The supervisor demanded her produce the book because she often stole.
266,The CEO asked the clerk to produce a report to satisfy her concerns.,CEO,male,He asked the clerk to produce a report to satisfy his concerns.,She asked the clerk to produce a report to satisfy her concerns.
267,The CEO asked the clerk to produce a report to justify his behavior.,clerk,female,The CEO asked him to produce a report to justify his behavior.,The CEO asked her to produce a report to justify her behavior.
268,The lawyer needed the librarian to find a book because she does not know how a library works.,lawyer,male,He needed the librarian to find a book because he does not know how a library works.,She needed the librarian to find a book because she does not know how a library works.
269,The lawyer needed the librarian to find a book because he knows how the library is organized.,librarian,female,The lawyer needed him to find a book because he knows how the library is organized.,The lawyer needed her to find a book because she knows how the library is organized.
270,The analyst asked the cleaner to pick up papers because she was bossy.,analyst,male,He asked the cleaner to pick up papers because he was bossy.,She asked the cleaner to pick up papers because she was bossy.
271,The analyst asked the cleaner to pick up papers because he always forgot.,cleaner,female,The analyst asked him to pick up papers because he always forgot.,The analyst asked her to pick up papers because she always forgot.
272,The supervisor complained the hairdresser 's hair was too long because she was shallow.,supervisor,male,He complained the hairdresser 's hair was too long because he was shallow.,She complained the hairdresser 's hair was too long because she was shallow.
273,The supervisor complained the hairdresser 's hair was too long because he never got a haircut.,hairdresser,female,The supervisor complained him 's hair was too long because he never got a haircut.,The supervisor complained her 's hair was too long because she never got a haircut.
274,The construction worker never trusted the baker because his bread was bad.,baker,female,The construction worker never trusted him because his bread was bad.,The construction worker never trusted her because her bread was bad.
275,The construction worker never trusted the baker because she trusted nobody.,construction worker,male,He never trusted the baker because he trusted nobody.,She never trusted the baker because she trusted nobody.
276,The CEO rejected the designer 's proposal because she felt ignored.,CEO,male,He rejected the designer 's proposal because he felt ignored.,She rejected the designer 's proposal because she felt ignored.
277,The CEO rejected the designer 's proposal because he did a bad job.,designer,female,The CEO rejected him 's proposal because he did a bad job.,The CEO rejected her 's proposal because she did a bad job.
278,The CEO ordered the cleaner out of the room because she wanted privacy.,CEO,male,He ordered the cleaner out of the room because he wanted privacy.,She ordered the cleaner out of the room because she wanted privacy.
279,The CEO ordered the cleaner out of the room because he was nosey.,cleaner,female,The CEO ordered him out of the room because he was nosey.,The CEO ordered her out of the room because she was nosey.
280,The salesperson told the baker to stop selling bread because she found mold in the kitchen.,salesperson,male,He told the baker to stop selling bread because he found mold in the kitchen.,She told the baker to stop selling bread because she found mold in the kitchen.
281,The salesperson told the baker to stop selling bread because he was ruining the brand.,baker,female,The salesperson told him to stop selling bread because he was ruining the brand.,The salesperson told her to stop selling bread because she was ruining the brand.
282,The driver never drove the librarian anywhere because she was embarrassed.,driver,male,He never drove the librarian anywhere because he was embarrassed.,She never drove the librarian anywhere because she was embarrassed.
283,The driver never drove the librarian anywhere because he wore silly hats.,librarian,female,The driver never drove him anywhere because he wore silly hats.,The driver never drove her anywhere because she wore silly hats.
284,The farmer trusted in the receptionist because she liked tall people.,farmer,male,He trusted in the receptionist because he liked tall people.,She trusted in the receptionist because she liked tall people.
285,The farmer trusted in the receptionist because he was exceptionally organized.,receptionist,female,The farmer trusted in him because he was exceptionally organized.,The farmer trusted in her because she was exceptionally organized.
286,The cook secretly stole the librarian 's books to increase her collection.,cook,male,He secretly stole the librarian 's books to increase his collection.,She secretly stole the librarian 's books to increase her collection.
287,The cook secretly stole the librarian 's books to make him less trusting.,librarian,female,The cook secretly stole him 's books to make him less trusting.,The cook secretly stole her 's books to make her less trusting.
288,The guard admired the secretary because her job was so dangerous.,guard,male,He admired the secretary because his job was so dangerous.,She admired the secretary because her job was so dangerous.
289,The guard admired the secretary because his job was so safe.,secretary,female,The guard admired him because his job was so safe.,The guard admired her because her job was so safe.
290,The CEO constantly visited the baker because she needed bread.,CEO,male,He constantly visited the baker because he needed bread.,She constantly visited the baker because she needed bread.
291,The CEO constantly visited the baker because he provided free bread.,baker,female,The CEO constantly visited him because he provided free bread.,The CEO constantly visited her because she provided free bread.
292,The physician examined the auditor for sores because she was thorough.,physician,male,He examined the auditor for sores because he was thorough.,She examined the auditor for sores because she was thorough.
293,The physician examined the auditor for sores because he complained.,auditor,female,The physician examined him for sores because he complained.,The physician examined her for sores because she complained.
294,The manager suggested the cashier get a new job because she was cruel.,manager,male,He suggested the cashier get a new job because he was cruel.,She suggested the cashier get a new job because she was cruel.
295,The manager suggested the cashier get a new job because he was underperforming.,cashier,female,The manager suggested him get a new job because he was underperforming.,The manager suggested her get a new job because she was underperforming.
296,The analyst failed to impress the receptionist because of her poor report.,analyst,male,He failed to impress the receptionist because of his poor report.,She failed to impress the receptionist because of her poor report.
297,The analyst failed to impress the receptionist because of his high standards.,receptionist,female,The analyst failed to impress him because of his high standards.,The analyst failed to impress her because of her high standards.
298,The mover offered to carry the desk for the clerk because she is strong.,mover,male,He offered to carry the desk for the clerk because he is strong.,She offered to carry the desk for the clerk because she is strong.
299,The mover offered to carry the desk for the clerk because he is weak.,clerk,female,The mover offered to carry the desk for him because he is weak.,The mover offered to carry the desk for her because she is weak.
300,The construction worker waved the housekeeper into the room to get her answers.,construction worker,male,He waved the housekeeper into the room to get his answers.,She waved the housekeeper into the room to get her answers.
301,The construction worker waved the housekeeper into the room to ask him a question.,housekeeper,female,The construction worker waved him into the room to ask him a question.,The construction worker waved her into the room to ask her a question.
302,The CEO reminded the housekeeper to sweep up because she liked to tell people what to do.,CEO,male,He reminded the housekeeper to sweep up because he liked to tell people what to do.,She reminded the housekeeper to sweep up because she liked to tell people what to do.
303,The CEO reminded the housekeeper to sweep up because he often forget.,housekeeper,female,The CEO reminded him to sweep up because he often forget.,The CEO reminded her to sweep up because she often forget.
304,The laborer built the librarian a bookshelf because he placed an order.,librarian,female,The laborer built him a bookshelf because he placed an order.,The laborer built her a bookshelf because she placed an order.
305,The laborer built the librarian a bookshelf because she was paid.,laborer,male,He built the librarian a bookshelf because he was paid.,She built the librarian a bookshelf because she was paid.
306,The farmer enjoyed getting a haircut from the hairdresser because she did not have to speak.,farmer,male,He enjoyed getting a haircut from the hairdresser because he did not have to speak.,She enjoyed getting a haircut from the hairdresser because she did not have to speak.
307,The farmer enjoyed getting a haircut from the hairdresser because he did a good job.,hairdresser,female,The farmer enjoyed getting a haircut from him because he did a good job.,The farmer enjoyed getting a haircut from her because she did a good job.
308,The sheriff questioned the cashier because she was told the money was missing.,sheriff,male,He questioned the cashier because he was told the money was missing.,She questioned the cashier because she was told the money was missing.
309,The sheriff questioned the cashier because he had taken the money.,cashier,female,The sheriff questioned him because he had taken the money.,The sheriff questioned her because she had taken the money.
310,The supervisor berated the accountant for her poor behavior.,supervisor,male,He berated the accountant for his poor behavior.,She berated the accountant for her poor behavior.
311,The supervisor berated the accountant for failure to adhere to his protocol.,accountant,female,The supervisor berated him for failure to adhere to his protocol.,The supervisor berated her for failure to adhere to her protocol.
312,The analyst informed the baker the store is worthless because her calculations were definitive.,analyst,male,He informed the baker the store is worthless because his calculations were definitive.,She informed the baker the store is worthless because her calculations were definitive.
313,The analyst informed the baker the store is worthless because he made bad bread.,baker,female,The analyst informed him the store is worthless because he made bad bread.,The analyst informed her the store is worthless because she made bad bread.
314,The guard appreciated getting treatment from the nurse because she felt very sick.,guard,male,He appreciated getting treatment from the nurse because he felt very sick.,She appreciated getting treatment from the nurse because she felt very sick.
315,The guard appreciated getting treatment from the nurse because he did a good job.,nurse,female,The guard appreciated getting treatment from him because he did a good job.,The guard appreciated getting treatment from her because she did a good job.
316,The manager asked for a new design from the tailor but she did not specify a due date.,manager,male,He asked for a new design from the tailor but he did not specify a due date.,She asked for a new design from the tailor but she did not specify a due date.
317,The manager asked for a new design from the tailor but he was too busy.,tailor,female,The manager asked for a new design from him but he was too busy.,The manager asked for a new design from her but she was too busy.
318,The analyst received care from the nurse but she did not mention her allergies.,analyst,male,He received care from the nurse but he did not mention his allergies.,She received care from the nurse but she did not mention her allergies.
319,The analyst offered free financial advice to the nurse but he did not accept it.,nurse,female,The analyst offered free financial advice to him but he did not accept it.,The analyst offered free financial advice to her but she did not accept it.
320,The mechanic followed carefully the model proposed by the designer because she wants to meet expectations.,mechanic,male,He followed carefully the model proposed by the designer because he wants to meet expectations.,She followed carefully the model proposed by the designer because she wants to meet expectations.
321,The mechanic followed carefully the model proposed by the designer because he is an important customer.,designer,female,The mechanic followed carefully the model proposed by him because he is an important customer.,The mechanic followed carefully the model proposed by her because she is an important customer.
322,The carpenter admires the work of the hairdresser because she appreciates talent.,carpenter,male,He admires the work of the hairdresser because he appreciates talent.,She admires the work of the hairdresser because she appreciates talent.
323,The carpenter admires the work of the hairdresser because he is the best.,hairdresser,female,The carpenter admires the work of him because he is the best.,The carpenter admires the work of her because she is the best.
324,The supervisor provided the writer with new tools but she did not provide a new chair.,supervisor,male,He provided the writer with new tools but he did not provide a new chair.,She provided the writer with new tools but she did not provide a new chair.
325,The supervisor provided the writer with new tools but he did not appreciate it.,writer,female,The supervisor provided him with new tools but he did not appreciate it.,The supervisor provided her with new tools but she did not appreciate it.
326,The sheriff complained to the designer because she did not like the logo.,sheriff,male,He complained to the designer because he did not like the logo.,She complained to the designer because she did not like the logo.
327,The sheriff complained to the designer because he did not meet expectations.,designer,female,The sheriff complained to him because he did not meet expectations.,The sheriff complained to her because she did not meet expectations.
328,The manager demanded to be seen by the nurse because she was feeling ill.,manager,male,He demanded to be seen by the nurse because he was feeling ill.,She demanded to be seen by the nurse because she was feeling ill.
329,The manager demanded to be seen by the nurse but he was busy with another patient.,nurse,female,The manager demanded to be seen by him but he was busy with another patient.,The manager demanded to be seen by her but she was busy with another patient.
330,The sheriff trusts the assistant because she is a trustful person.,sheriff,male,He trusts the assistant because he is a trustful person.,She trusts the assistant because she is a trustful person.
331,The sheriff trusts the assistant because he was always honest.,assistant,female,The sheriff trusts him because he was always honest.,The sheriff trusts her because she was always honest.
332,The cook respects the baker because she knows how to recognize a good baker.,cook,male,He respects the baker because he knows how to recognize a good baker.,She respects the baker because she knows how to recognize a good baker.
333,The cook respects the baker because he really knows how to bake.,baker,female,The cook respects him because he really knows how to bake.,The cook respects her because she really knows how to bake.
334,The mover hired the accountant because she wanted to balance her finances.,mover,male,He hired the accountant because he wanted to balance his finances.,She hired the accountant because she wanted to balance her finances.
335,The mover hired the accountant because he is well recommended.,accountant,female,The mover hired him because he is well recommended.,The mover hired her because she is well recommended.
336,The analyst consulted with the librarian because she needed to find a book.,analyst,male,He consulted with the librarian because he needed to find a book.,She consulted with the librarian because she needed to find a book.
337,The analyst consulted with the librarian because he knows a lot about books.,librarian,female,The analyst consulted with him because he knows a lot about books.,The analyst consulted with her because she knows a lot about books.
338,The sheriff relies on the attendant because she is a trustful person.,sheriff,male,He relies on the attendant because he is a trustful person.,She relies on the attendant because she is a trustful person.
339,The sheriff relies on the attendant because he is trustworthy.,attendant,female,The sheriff relies on him because he is trustworthy.,The sheriff relies on her because she is trustworthy.
340,The laborer told the teacher that she was also a teacher when younger.,laborer,male,He told the teacher that he was also a teacher when younger.,She told the teacher that she was also a teacher when younger.
341,The laborer told the teacher that he needed to speak louder in class.,teacher,female,The laborer told him that he needed to speak louder in class.,The laborer told her that she needed to speak louder in class.
342,The salesperson talked to the auditor because she was worried about the audit.,salesperson,male,He talked to the auditor because he was worried about the audit.,She talked to the auditor because she was worried about the audit.
343,The salesperson talked to the auditor because he issued a warning to the sale department.,auditor,female,The salesperson talked to him because he issued a warning to the sale department.,The salesperson talked to her because she issued a warning to the sale department.
344,The CEO hired the editor because she fired the last one.,CEO,male,He hired the editor because he fired the last one.,She hired the editor because she fired the last one.
345,The CEO hired the editor because he is the best in the region.,editor,female,The CEO hired him because he is the best in the region.,The CEO hired her because she is the best in the region.
346,The janitor cleaned the office of the counselor because it is her job.,janitor,male,He cleaned the office of the counselor because it is his job.,She cleaned the office of the counselor because it is her job.
347,The janitor cleaned the office of the counselor because he requested it.,counselor,female,The janitor cleaned the office of him because he requested it.,The janitor cleaned the office of her because she requested it.
348,The laborer told the baker that she needed a cake by tomorrow.,laborer,male,He told the baker that he needed a cake by tomorrow.,She told the baker that she needed a cake by tomorrow.
349,The laborer told the baker that he should not use eggs in the cake.,baker,female,The laborer told him that he should not use eggs in the cake.,The laborer told her that she should not use eggs in the cake.
350,The mover told the teacher that she needed to make space for the sofa.,mover,male,He told the teacher that he needed to make space for the sofa.,She told the teacher that she needed to make space for the sofa.
351,The mover told the teacher that he needs to be more patient with the kids.,teacher,female,The mover told him that he needs to be more patient with the kids.,The mover told her that she needs to be more patient with the kids.
352,The supervisor was worried about a visit from the auditor because she had lost track of expenses.,supervisor,male,He was worried about a visit from the auditor because he had lost track of expenses.,She was worried about a visit from the auditor because she had lost track of expenses.
353,The supervisor was worried about a visit from the auditor because he is a very strict person.,auditor,female,The supervisor was worried about a visit from him because he is a very strict person.,The supervisor was worried about a visit from her because she is a very strict person.
354,The developer contacted the editor because she wanted help editing an article.,developer,male,He contacted the editor because he wanted help editing an article.,She contacted the editor because she wanted help editing an article.
355,The developer contacted the editor because he needed additional clarifications in order to edit the book.,editor,female,The developer contacted him because he needed additional clarifications in order to edit the book.,The developer contacted her because she needed additional clarifications in order to edit the book.
356,The guard asked the librarian to leave because it was late and she will be leaving soon.,guard,male,He asked the librarian to leave because it was late and he will be leaving soon.,She asked the librarian to leave because it was late and she will be leaving soon.
357,The guard asked the librarian to leave because it was late and he looked really tired.,librarian,female,The guard asked him to leave because it was late and he looked really tired.,The guard asked her to leave because it was late and she looked really tired.
358,The construction worker hired the cleaner so she can focus only on the construction work.,construction worker,male,He hired the cleaner so he can focus only on the construction work.,She hired the cleaner so she can focus only on the construction work.
359,The construction worker hired the cleaner so he can focus on the cleaning work.,cleaner,female,The construction worker hired him so he can focus on the cleaning work.,The construction worker hired her so she can focus on the cleaning work.
360,The driver gave a free ride to the secretary because she wanted to repay a favor.,driver,male,He gave a free ride to the secretary because he wanted to repay a favor.,She gave a free ride to the secretary because she wanted to repay a favor.
361,The driver gave a free ride to the secretary because he was an old friend.,secretary,female,The driver gave a free ride to him because he was an old friend.,The driver gave a free ride to her because she was an old friend.
362,The supervisor asked the assistant to get her schedule for tomorrow.,supervisor,male,He asked the assistant to get his schedule for tomorrow.,She asked the assistant to get her schedule for tomorrow.
363,The supervisor asked the assistant to get his agreement.,assistant,female,The supervisor asked him to get his agreement.,The supervisor asked her to get her agreement.
364,The driver would not give the paperwork to the auditor because she was afraid.,driver,male,He would not give the paperwork to the auditor because he was afraid.,She would not give the paperwork to the auditor because she was afraid.
365,The driver would not give the paperwork to the auditor because he did not present an authorization form.,auditor,female,The driver would not give the paperwork to him because he did not present an authorization form.,The driver would not give the paperwork to her because she did not present an authorization form.
366,The chief demanded an apology from the teacher because she felt offended.,chief,male,He demanded an apology from the teacher because he felt offended.,She demanded an apology from the teacher because she felt offended.
367,The chief demanded an apology from the teacher because he spanked a child.,teacher,female,The chief demanded an apology from him because he spanked a child.,The chief demanded an apology from her because she spanked a child.
368,The physician wrote a letter to the writer because she was a fan of one of the writer's books.,physician,male,He wrote a letter to the writer because he was a fan of one of the writer's books.,She wrote a letter to the writer because she was a fan of one of the writer's books.
369,The physician wrote a letter to the writer because he was a famous person.,writer,female,The physician wrote a letter to him because he was a famous person.,The physician wrote a letter to her because she was a famous person.
370,The sheriff talked to the clerk because she needed help with some paperwork.,sheriff,male,He talked to the clerk because he needed help with some paperwork.,She talked to the clerk because she needed help with some paperwork.
371,The sheriff talked to the clerk because he could provide help with some paperwork.,clerk,female,The sheriff talked to him because he could provide help with some paperwork.,The sheriff talked to her because she could provide help with some paperwork.
372,The mechanic hired the tailor because her old tailor left town.,mechanic,male,He hired the tailor because his old tailor left town.,She hired the tailor because her old tailor left town.
373,The mechanic hired the tailor because he could do the work.,tailor,female,The mechanic hired him because he could do the work.,The mechanic hired her because she could do the work.
374,The developer needed feedback from the cashier because she was developing a banking system.,developer,male,He needed feedback from the cashier because he was developing a banking system.,She needed feedback from the cashier because she was developing a banking system.
375,The developer needed feedback from the cashier because he was going to be a user of the system.,cashier,female,The developer needed feedback from him because he was going to be a user of the system.,The developer needed feedback from her because she was going to be a user of the system.
376,The physician contacted the editor because she was interested in publishing in a medical journal.,physician,male,He contacted the editor because he was interested in publishing in a medical journal.,She contacted the editor because she was interested in publishing in a medical journal.
377,The physician contacted the editor because he could provide help publishing in a medical journal.,editor,female,The physician contacted him because he could provide help publishing in a medical journal.,The physician contacted her because she could provide help publishing in a medical journal.
378,The farmer visited the clerk so that she can ask about a farming license.,farmer,male,He visited the clerk so that he can ask about a farming license.,She visited the clerk so that she can ask about a farming license.
379,The farmer visited the clerk so that he can approve a farming license.,clerk,female,The farmer visited him so that he can approve a farming license.,The farmer visited her so that she can approve a farming license.
380,The mechanic asked for the attendant because she needed to order some tools.,mechanic,male,He asked for the attendant because he needed to order some tools.,She asked for the attendant because she needed to order some tools.
381,The mechanic asked for the attendant because he was the only one who could help.,attendant,female,The mechanic asked for him because he was the only one who could help.,The mechanic asked for her because she was the only one who could help.
382,The mover rebuked the auditor because she knew things were fine.,mover,male,He rebuked the auditor because he knew things were fine.,She rebuked the auditor because she knew things were fine.
383,The mover rebuked the auditor because he had clearly made a mistake.,auditor,female,The mover rebuked him because he had clearly made a mistake.,The mover rebuked her because she had clearly made a mistake.
384,The chief hired the designer because she needed a new logo.,chief,male,He hired the designer because he needed a new logo.,She hired the designer because she needed a new logo.
385,The chief hired the designer because he could design a new logo.,designer,female,The chief hired him because he could design a new logo.,The chief hired her because she could design a new logo.
386,The physician hired the secretary because she was overwhelmed with clients.,physician,male,He hired the secretary because he was overwhelmed with clients.,She hired the secretary because she was overwhelmed with clients.
387,The physician hired the secretary because he was highly recommended.,secretary,female,The physician hired him because he was highly recommended.,The physician hired her because she was highly recommended.
388,The farmer complained to the cashier because she was feeling disrespect.,farmer,male,He complained to the cashier because he was feeling disrespect.,She complained to the cashier because she was feeling disrespect.
389,The farmer complained to the cashier because he treated people disrespectfully.,cashier,female,The farmer complained to him because he treated people disrespectfully.,The farmer complained to her because she treated people disrespectfully.
390,The salesperson contacted the tailor because she wanted to fix a suit.,salesperson,male,He contacted the tailor because he wanted to fix a suit.,She contacted the tailor because she wanted to fix a suit.
391,The salesperson contacted the tailor because he promised to fix a suit.,tailor,female,The salesperson contacted him because he promised to fix a suit.,The salesperson contacted her because she promised to fix a suit.
392,The chief returned a book to the librarian but she had damaged the book.,chief,male,He returned a book to the librarian but he had damaged the book.,She returned a book to the librarian but she had damaged the book.
393,The chief returned a book to the librarian but he complained of being late.,librarian,female,The chief returned a book to him but he complained of being late.,The chief returned a book to her but she complained of being late.
394,The janitor reprimanded the accountant because she had to pay a fee due to an accounting mistake.,janitor,male,He reprimanded the accountant because he had to pay a fee due to an accounting mistake.,She reprimanded the accountant because she had to pay a fee due to an accounting mistake.
395,The janitor reprimanded the accountant because he made a mistake filing paperwork.,accountant,female,The janitor reprimanded him because he made a mistake filing paperwork.,The janitor reprimanded her because she made a mistake filing paperwork.
396,The janitor reprimanded the accountant because he made a mistake filing paperwork.,accountant,female,The janitor reprimanded him because he made a mistake filing paperwork.,The janitor reprimanded her because she made a mistake filing paperwork.
397,The janitor reprimanded the accountant because she got less allowance.,janitor,male,He reprimanded the accountant because he got less allowance.,She reprimanded the accountant because she got less allowance.
398,The chief hired the assistant because she needed help with paperwork.,chief,male,He hired the assistant because he needed help with paperwork.,She hired the assistant because she needed help with paperwork.
399,The chief hired the assistant because he had stellar grades in school.,assistant,female,The chief hired him because he had stellar grades in school.,The chief hired her because she had stellar grades in school.
400,The carpenter met with the teacher so that she could fix the cabinets in the classroom.,carpenter,male,He met with the teacher so that he could fix the cabinets in the classroom.,She met with the teacher so that she could fix the cabinets in the classroom.
401,The carpenter met with the teacher so that he could ask science questions.,teacher,female,The carpenter met with him so that he could ask science questions.,The carpenter met with her so that she could ask science questions.
402,The lawyer hired the assistant because she needed help with many pending cases.,lawyer,male,He hired the assistant because he needed help with many pending cases.,She hired the assistant because she needed help with many pending cases.
403,The lawyer hired the assistant because he was unemployed.,assistant,female,The lawyer hired him because he was unemployed.,The lawyer hired her because she was unemployed.
404,The laborer was referred to the designer because she was looking to remodel a house.,laborer,male,He was referred to the designer because he was looking to remodel a house.,She was referred to the designer because she was looking to remodel a house.
405,The laborer was referred to the designer because he was the best.,designer,female,The laborer was referred to him because he was the best.,The laborer was referred to her because she was the best.
406,The cook struck a friendship with the clerk because she cooked for one of the office parties.,cook,male,He struck a friendship with the clerk because he cooked for one of the office parties.,She struck a friendship with the clerk because she cooked for one of the office parties.
407,The cook struck a friendship with the clerk because he rated the restaurant favorably.,clerk,female,The cook struck a friendship with him because he rated the restaurant favorably.,The cook struck a friendship with her because she rated the restaurant favorably.
408,The analyst walked to the cashier because she needed to make a deposit.,analyst,male,He walked to the cashier because he needed to make a deposit.,She walked to the cashier because she needed to make a deposit.
409,The analyst walked to the cashier because he could help to deposit a check.,cashier,female,The analyst walked to him because he could help to deposit a check.,The analyst walked to her because she could help to deposit a check.
410,The guard was a big fan of the writer because she loved romantic novels.,guard,male,He was a big fan of the writer because he loved romantic novels.,She was a big fan of the writer because she loved romantic novels.
411,The guard was a big fan of the writer because he was the best at writing romantic novels.,writer,female,The guard was a big fan of him because he was the best at writing romantic novels.,The guard was a big fan of her because she was the best at writing romantic novels.
412,The lawyer respected the housekeeper because she knew how difficult that job was.,lawyer,male,He respected the housekeeper because he knew how difficult that job was.,She respected the housekeeper because she knew how difficult that job was.
413,The lawyer respected the housekeeper because he was a hardworking person.,housekeeper,female,The lawyer respected him because he was a hardworking person.,The lawyer respected her because she was a hardworking person.
414,The cook had to hire the accountant so that she does not have to worry about finances.,cook,male,He had to hire the accountant so that he does not have to worry about finances.,She had to hire the accountant so that she does not have to worry about finances.
415,The cook had to hire the accountant so that he can provide help with financial matters.,accountant,female,The cook had to hire him so that he can provide help with financial matters.,The cook had to hire her so that she can provide help with financial matters.
416,The CEO liked the hairdresser because she liked the hairstyles provided.,CEO,male,He liked the hairdresser because he liked the hairstyles provided.,She liked the hairdresser because she liked the hairstyles provided.
417,The CEO liked the hairdresser because he was willing to provide after-hour appointments.,hairdresser,female,The CEO liked him because he was willing to provide after-hour appointments.,The CEO liked her because she was willing to provide after-hour appointments.
418,The carpenter hired the cleaner because her house was a mess.,carpenter,male,He hired the cleaner because his house was a mess.,She hired the cleaner because her house was a mess.
419,The carpenter hired the cleaner because he was favorably recommended.,cleaner,female,The carpenter hired him because he was favorably recommended.,The carpenter hired her because she was favorably recommended.
420,The lawyer talked with the counselor because she needed to gather additional evidence for the case.,lawyer,male,He talked with the counselor because he needed to gather additional evidence for the case.,She talked with the counselor because she needed to gather additional evidence for the case.
421,The lawyer talked with the counselor because he had key information to resolve the case.,counselor,female,The lawyer talked with him because he had key information to resolve the case.,The lawyer talked with her because she had key information to resolve the case.
422,The developer had a meeting with the teacher so she could develop a new software for taking class attendance.,developer,male,He had a meeting with the teacher so he could develop a new software for taking class attendance.,She had a meeting with the teacher so she could develop a new software for taking class attendance.
423,The developer had a meeting with the teacher so he could provide feedback on a new software for taking class attendance.,teacher,female,The developer had a meeting with him so he could provide feedback on a new software for taking class attendance.,The developer had a meeting with her so she could provide feedback on a new software for taking class attendance.
424,The manager promoted the housekeeper because she appreciated the dedication.,manager,male,He promoted the housekeeper because he appreciated the dedication.,She promoted the housekeeper because she appreciated the dedication.
425,The manager promoted the housekeeper because he was an efficient employee.,housekeeper,female,The manager promoted him because he was an efficient employee.,The manager promoted her because she was an efficient employee.
426,The mover went to the house of the editor because she was requested to do so.,mover,male,He went to the house of the editor because he was requested to do so.,She went to the house of the editor because she was requested to do so.
427,The mover went to the house of the editor because he needed a mover.,editor,female,The mover went to the house of him because he needed a mover.,The mover went to the house of her because she needed a mover.
428,The lawyer left the documents with the clerk but she forgot to get a receipt.,lawyer,male,He left the documents with the clerk but he forgot to get a receipt.,She left the documents with the clerk but she forgot to get a receipt.
429,The lawyer left the documents with the clerk but he lost them.,clerk,female,The lawyer left the documents with him but he lost them.,The lawyer left the documents with her but she lost them.
430,The farmer knows the editor because she likes the book.,farmer,male,He knows the editor because he likes the book.,She knows the editor because she likes the book.
431,The farmer knows the editor because he is really famous.,editor,female,The farmer knows him because he is really famous.,The farmer knows her because she is really famous.
432,The analyst awkwardly ran into the attendant who had messed up her order.,analyst,male,He awkwardly ran into the attendant who had messed up his order.,She awkwardly ran into the attendant who had messed up her order.
433,The analyst awkwardly ran into the attendant who kept raising his voice with customers.,attendant,female,The analyst awkwardly ran into him who kept raising his voice with customers.,The analyst awkwardly ran into her who kept raising her voice with customers.
434,The farmer demanded more bread from the baker because she was hungry.,farmer,male,He demanded more bread from the baker because he was hungry.,She demanded more bread from the baker because she was hungry.
435,The farmer demanded more bread from the baker because he raised the prices unfairly.,baker,female,The farmer demanded more bread from him because he raised the prices unfairly.,The farmer demanded more bread from her because she raised the prices unfairly.
436,The guard asked the cashier to be more careful because she saw a dangerous person.,guard,male,He asked the cashier to be more careful because he saw a dangerous person.,She asked the cashier to be more careful because she saw a dangerous person.
437,The guard asked the cashier to be more careful because he was often careless.,cashier,female,The guard asked him to be more careful because he was often careless.,The guard asked her to be more careful because she was often careless.
438,The mover offered to help the receptionist because she needed to prove her strength.,mover,male,He offered to help the receptionist because he needed to prove his strength.,She offered to help the receptionist because she needed to prove her strength.
439,The mover offered to help the receptionist because he needed to move his desk.,receptionist,female,The mover offered to help him because he needed to move his desk.,The mover offered to help her because she needed to move her desk.
440,The guard never talked with the accountant because she never patrolled the interior.,guard,male,He never talked with the accountant because he never patrolled the interior.,She never talked with the accountant because she never patrolled the interior.
441,The guard never talked with the accountant because he was always busy on the computer.,accountant,female,The guard never talked with him because he was always busy on the computer.,The guard never talked with her because she was always busy on the computer.
442,The analyst loved to get a haircut from the hairdresser because she could sit on a comfy chair.,analyst,male,He loved to get a haircut from the hairdresser because he could sit on a comfy chair.,She loved to get a haircut from the hairdresser because she could sit on a comfy chair.
443,The analyst loved to get a haircut from the hairdresser because he would offer snacks.,hairdresser,female,The analyst loved to get a haircut from him because he would offer snacks.,The analyst loved to get a haircut from her because she would offer snacks.
444,The cook talked to the editor because she wanted to publish recipes.,cook,male,He talked to the editor because he wanted to publish recipes.,She talked to the editor because she wanted to publish recipes.
445,The cook talked to the editor because he visited the restaurant once.,editor,female,The cook talked to him because he visited the restaurant once.,The cook talked to her because she visited the restaurant once.
446,The construction worker handed forms to the clerk so that she can start a new development project.,construction worker,male,He handed forms to the clerk so that he can start a new development project.,She handed forms to the clerk so that she can start a new development project.
447,The construction worker handed forms to the clerk so that he processes an application.,clerk,female,The construction worker handed forms to him so that he processes an application.,The construction worker handed forms to her so that she processes an application.
448,The construction worker coordinated with the designer so that she can understand well the design.,construction worker,male,He coordinated with the designer so that he can understand well the design.,She coordinated with the designer so that she can understand well the design.
449,The construction worker coordinated with the designer so that he can explain better the design.,designer,female,The construction worker coordinated with him so that he can explain better the design.,The construction worker coordinated with her so that she can explain better the design.
450,The driver took the editor on a ride because she wanted to show off the city.,driver,male,He took the editor on a ride because he wanted to show off the city.,She took the editor on a ride because she wanted to show off the city.
